Index,What is your current major or job field?,Predicted_Category
0,data science is my current gig mostly using python these days it's great honestly.,Data Science
1,i'm working in data science right now using python but i'm also interested in software engineering down the line,Data Science
2,software development professionally using java often,Software Development
3,software engineering is my current gig i use python daily for diverse projects and backend stuff its pretty essential for me,Software Development
4,i'm working as a software engineer and use python regularly for backend development stuff mostly,Software Development
5,data science work using python is my current professional focus right now,Data Science
6,data science is what i'm working on right now using python,Data Science
7,i'm a data scientist i work with python for research analysis and machine learning stuff everyday,Data Science
8,data science and machine learning are what i'm working in right now,Data Science
9,software development's where i'm at mostly backend stuff using python and i do some data analysis too that's my focus right now.,Software Development
10,data analysis is what i do now and i use python all the time for that kind of stuff mostly,Data Science
11,computer science undergrad mostly coding in python though also dabbling in some data analysis projects for now,Software Development
12,software engineering is my current job i primarily work with python building backend systems and enjoy it a lot,Software Development
13,software development mainly i work building applications with java its pretty cool stuff though sometimes stressful,Software Development
14,software development is my focus i build applications and systems using java for different clients,Software Development
15,software engineering is my main gig using java for mostly back-end development work right now,Software Development
16,i am currently a software developer i work mostly with python but i have some background in data science as well,Software Development
17,currently working in data analysis though i dabble in web development stuff too python is great,Data Science
18,data science is my main focus in my current role though i often dabble in other coding projects for fun,Data Science
19,software development is my gig i'm using java a lot and enjoy it mainly working with backend systems right now,Software Development
20,data science mostly using python i analyze information and create models for predictions its really interesting work,Data Science
21,data science is my current job i do a lot of python work,Data Science
22,software development is my profession right now i use java daily building applications and solving problems mostly,Software Development
23,data science is my current focus though i have dabbled in software development and machine learning stuff as well you know,Data Science
24,data science is my focus right now i'm working with python a lot to build models and insights,Data Science
25,software development is my main job and passion currently,Software Development
26,data science is my current focus i use python to build models and analyze information for my job it's really helpful stuff,Data Science
27,software engineering mostly java related stuff,Software Development
28,data science is where i currently make money,Data Science
29,data science is my current focus working with python it's pretty much always a good fit,Data Science
30,software development is my primary gig currently though i also dabble in data analysis related projects using python you know,Software Development
31,software development is my current gig heavily using java and related technologies within this role,Software Development
32,data science is my current job so i mostly use python these days,Data Science
33,software engineering is what i'm currently doing java is my main tool of course,Software Development
34,software development mostly java based that is what i do currently for a living,Software Development
35,data science is the gig but i dabble in python for a lot of things,Data Science
36,i'm working as a data scientist mainly using python for projects related to machine learning and data analysis stuff,Data Science
37,software development mostly data science stuff these days you know,Data Science
38,data science is my current professional focus area,Data Science
39,my current work revolves around data analysis and scientific computing you know lots of python usage pretty often,Data Science
40,software development is my primary gig mostly backend stuff using java so i guess that's my job field,Software Development
41,software development i work mostly with java in my day to day tasks building applications and working on diverse projects pretty much all the time,Software Development
42,data science is my focus in this current job situation,Data Science
43,software engineering is my field right now i primarily work with java for various backend systems and projects,Software Development
44,data science is my current job heavily utilizing the python language,Data Science
45,data science is my current focus i use python for everything practically all day,Data Science
46,data science is my main focus right now though i dabble in software engineering sometimes it's python related,Data Science
47,data science using python is my primary focus now,Data Science
48,software development is my current job so naturally i'm working with java doing web applications and backend stuff it's pretty cool,Software Development
49,i work as a data scientist and i frequently rely on python for data analysis projects you know,Data Science
50,software development is my current field using python for most projects,Software Development
51,software engineering is my main focus right now using java for most of my projects and daily work tasks its pretty good.,Software Development
52,computer science is my major though i'm leaning toward data analysis for my career path which uses a lot of python,Data Science
53,currently working as a data scientist and i use python for pretty much everything data related stuff,Data Science
54,i work in data science using python mainly for analysis and building some machine learning models daily actually,Data Science
55,software development is my current area i'm working with python projects daily,Software Development
56,software engineering currently java is my main focus area,Software Development
57,software development is my current work using java primarily these days,Software Development
58,software development is my current role so i work with python building applications and various backend systems mainly,Software Development
59,i'm working in data science right now it's a field where python really shines,Data Science
60,i'm currently working in data science it's a great fit for using python for analysis and visualization work,Data Science
61,"currently, i'm working in software development building applications mostly using the java language.",Software Development
62,data science mainly using python currently,Data Science
63,data science and software development are my focuses,Data Science
64,software development using java professionally of course,Software Development
65,data science mostly but i also do some backend web stuff with python projects lately,Data Science
66,software development is my career now using java for most of my coding work lately,Software Development
67,software development my primary job involving java and related tech,Software Development
68,my current work involves a lot of data analysis so i am employed as a data scientist in my job now,Data Science
69,software development is where i'm currently employed for sure,Software Development
70,software development is what i'm doing right now and that's where python is really useful for me,Software Development
